date,pm10,o3,no2,so2,co,dd,mm,yy
2016-08-27,18.0,3.0,9.0,2.0,4.0,27,8,2016
2016-08-28,18.0,3.0,9.0,2.0,4.0,28,8,2016
2016-08-29,14.0,3.0,10.0,2.0,4.0,29,8,2016
2016-08-30,18.0,43.0,16.0,11.0,4.0,30,8,2016
2016-08-31,36.0,44.0,14.0,11.0,4.0,31,8,2016
2016-09-01,36.0,8.0,8.0,2.0,4.0,1,9,2016
2016-09-02,31.0,4.0,17.0,2.0,4.0,2,9,2016
2016-09-03,30.0,5.0,12.0,2.0,3.0,3,9,2016
2016-09-04,35.0,4.0,12.0,2.0,5.0,4,9,2016
2016-09-05,22.0,3.0,11.0,2.0,4.0,5,9,2016
2016-09-06,24.0,3.0,10.0,2.0,5.0,6,9,2016
2016-09-07,33.0,4.0,12.0,1.0,4.0,7,9,2016
2016-09-08,35.0,4.0,12.0,4.0,4.0,8,9,2016
2016-09-09,28.0,3.0,11.0,2.0,3.0,9,9,2016
2016-09-10,34.0,3.0,9.0,2.0,3.0,10,9,2016
2016-09-11,23.0,2.0,9.0,2.0,4.0,11,9,2016
2016-09-12,6.0,3.0,8.0,2.0,3.0,12,9,2016
2016-09-13,5.0,3.0,8.0,2.0,4.0,13,9,2016
2016-09-14,7.0,3.0,8.0,2.0,4.0,14,9,2016
2016-09-15,8.0,4.0,11.0,2.0,4.0,15,9,2016
2016-09-16,11.0,2.0,10.0,3.0,3.0,16,9,2016
2016-09-17,46.0,4.0,9.0,3.0,4.0,17,9,2016
2016-09-18,17.0,4.0,9.0,3.0,3.0,18,9,2016
2016-09-19,34.0,4.0,7.0,2.0,4.0,19,9,2016
2016-09-20,27.0,2.0,7.0,2.0,4.0,20,9,2016
2016-09-21,8.0,3.0,9.0,2.0,4.0,21,9,2016
2016-09-22,8.0,2.0,8.0,2.0,5.0,22,9,2016
2016-09-23,8.0,3.0,8.0,3.0,5.0,23,9,2016
2016-09-24,6.0,3.0,8.0,4.0,4.0,24,9,2016
2016-09-25,7.0,3.0,10.0,2.0,5.0,25,9,2016
2016-09-26,6.0,3.0,12.0,2.0,4.0,26,9,2016
2016-09-27,16.0,1.0,12.0,2.0,5.0,27,9,2016
2016-09-28,39.0,1.0,11.0,2.0,5.0,28,9,2016
2016-09-29,30.0,2.0,9.0,2.0,5.0,29,9,2016
2016-09-30,19.0,2.0,9.0,2.0,5.0,30,9,2016
2016-10-01,18.0,3.0,8.0,2.0,5.0,1,10,2016
2016-10-02,14.0,6.0,13.0,2.0,6.0,2,10,2016
2016-10-03,30.0,7.0,15.0,2.0,5.0,3,10,2016
2016-10-04,49.0,5.0,16.0,2.0,4.0,4,10,2016
2016-10-05,40.0,4.0,12.0,2.0,6.0,5,10,2016
2016-10-06,35.0,2.0,10.0,2.0,5.0,6,10,2016
2016-10-07,16.0,3.0,10.0,2.0,5.0,7,10,2016
2016-10-08,18.0,2.0,12.0,2.0,6.0,8,10,2016
2016-10-09,21.0,4.0,9.0,2.0,6.0,9,10,2016
2016-10-10,14.0,4.0,10.0,2.0,6.0,10,10,2016
2016-10-11,13.0,6.0,12.0,2.0,7.0,11,10,2016
2016-10-12,50.0,8.0,19.0,2.0,7.0,12,10,2016
2016-10-13,70.0,8.0,26.0,2.0,6.0,13,10,2016
2016-10-14,79.0,8.0,20.0,2.0,5.0,14,10,2016
2016-10-15,68.0,10.0,18.0,2.0,8.0,15,10,2016
2016-10-16,64.0,8.0,20.0,2.0,13.0,16,10,2016
2016-10-17,60.0,10.0,20.0,3.0,12.0,17,10,2016
2016-10-18,68.0,8.0,22.0,2.0,3.0,18,10,2016
2016-10-19,67.0,11.0,21.0,2.0,8.0,19,10,2016
2016-10-20,98.0,12.0,23.0,2.0,9.0,20,10,2016
2016-10-21,49.0,10.0,25.0,2.0,15.0,21,10,2016
2016-10-22,76.0,10.0,23.0,2.0,11.0,22,10,2016
2016-10-23,49.0,10.0,23.0,2.0,8.0,23,10,2016
2016-10-24,49.0,11.0,22.0,2.0,8.0,24,10,2016
2016-10-25,49.0,7.0,23.0,2.0,11.0,25,10,2016
2016-10-26,62.0,5.0,12.0,2.0,3.0,26,10,2016
2016-10-27,37.0,3.0,14.0,2.0,8.0,27,10,2016
2016-10-28,41.0,6.0,11.0,2.0,8.0,28,10,2016
2016-10-29,38.0,4.0,13.0,3.0,9.0,29,10,2016
2016-10-30,65.0,3.0,10.0,2.0,15.0,30,10,2016
2016-10-31,59.0,5.0,12.0,3.0,18.0,31,10,2016
2016-11-01,59.0,8.0,16.0,2.0,4.0,1,11,2016
2016-11-02,57.0,5.0,15.0,2.0,17.0,2,11,2016
2016-11-03,42.0,1.0,16.0,2.0,17.0,3,11,2016
2016-11-04,46.0,1.0,9.0,3.0,17.0,4,11,2016
2016-11-05,14.0,2.0,9.0,2.0,17.0,5,11,2016
2016-11-06,35.0,3.0,11.0,2.0,8.0,6,11,2016
2016-11-07,62.0,4.0,17.0,3.0,16.0,7,11,2016
2016-11-08,82.0,6.0,16.0,3.0,16.0,8,11,2016
2016-11-09,98.0,7.0,20.0,2.0,13.0,9,11,2016
2016-11-10,107.0,6.0,21.0,2.0,14.0,10,11,2016
2016-11-11,96.0,6.0,19.0,3.0,15.0,11,11,2016
2016-11-12,85.0,7.0,17.0,5.0,15.0,12,11,2016
2016-11-13,72.0,7.0,15.0,3.0,18.0,13,11,2016
2016-11-14,83.0,4.0,18.0,2.0,18.0,14,11,2016
2016-11-15,94.0,4.0,20.0,2.0,12.0,15,11,2016
2016-11-16,85.0,4.0,20.0,2.0,12.0,16,11,2016
2016-11-17,81.0,3.0,21.0,2.0,13.0,17,11,2016
2016-11-18,87.0,4.0,24.0,3.0,15.0,18,11,2016
2016-11-19,112.0,4.0,25.0,2.0,22.0,19,11,2016
2016-11-20,163.0,2.0,21.0,3.0,25.0,20,11,2016
2016-11-21,127.0,3.0,17.0,2.0,21.0,21,11,2016
2016-11-22,121.0,9.0,18.0,2.0,23.0,22,11,2016
2016-11-23,122.0,20.0,19.0,3.0,28.0,23,11,2016
2016-11-24,122.0,21.0,18.0,3.0,22.0,24,11,2016
2016-11-25,124.0,21.0,18.0,2.0,30.0,25,11,2016
2016-11-26,142.0,12.0,15.0,3.0,28.0,26,11,2016
2016-11-27,140.0,12.0,19.0,2.0,28.0,27,11,2016
2016-11-28,124.0,13.0,28.0,3.0,25.0,28,11,2016
2016-11-29,94.0,15.0,32.0,3.0,22.0,29,11,2016
2016-11-30,96.0,17.0,26.0,2.0,10.0,30,11,2016
2016-12-01,67.0,16.0,26.0,2.0,20.0,1,12,2016
2016-12-02,77.0,16.0,29.0,3.0,19.0,2,12,2016
2016-12-03,91.0,17.0,23.0,2.0,13.0,3,12,2016
2016-12-04,94.0,14.0,20.0,4.0,10.0,4,12,2016
2016-12-05,92.0,15.0,27.0,2.0,15.0,5,12,2016
2016-12-06,86.0,13.0,34.0,2.0,19.0,6,12,2016
2016-12-07,82.0,13.0,32.0,2.0,21.0,7,12,2016
2016-12-08,91.0,12.0,45.0,2.0,17.0,8,12,2016
2016-12-09,80.0,15.0,34.0,3.0,19.0,9,12,2016
2016-12-10,88.0,13.0,45.0,2.0,17.5,10,12,2016
2016-12-11,94.5,7.0,36.0,3.0,21.0,11,12,2016
2016-12-12,93.0,15.0,44.0,2.0,17.0,12,12,2016
2016-12-13,97.0,14.0,35.0,2.0,15.0,13,12,2016
2016-12-14,108.0,14.0,37.0,3.0,18.0,14,12,2016
2016-12-15,95.0,12.0,45.0,2.0,13.0,15,12,2016
2016-12-16,86.0,15.0,51.0,2.0,10.0,16,12,2016
2016-12-17,97.0,14.0,65.0,2.0,17.0,17,12,2016
2016-12-18,120.0,13.0,59.0,2.0,15.0,18,12,2016
2016-12-19,106.0,10.0,55.0,3.0,19.0,19,12,2016
2016-12-20,108.0,14.0,65.0,2.0,26.0,20,12,2016
2016-12-21,126.0,11.0,77.0,2.0,23.0,21,12,2016
2016-12-22,142.0,3.0,63.0,2.0,21.0,22,12,2016
2016-12-23,146.0,13.0,45.0,2.0,17.5,23,12,2016
2016-12-24,94.5,13.0,45.0,2.0,17.5,24,12,2016
2016-12-25,94.5,2.0,88.0,2.0,25.0,25,12,2016
2016-12-26,81.0,13.0,58.0,2.0,13.0,26,12,2016
2016-12-27,98.0,3.0,34.0,2.0,9.0,27,12,2016
2016-12-28,93.0,5.0,46.0,2.0,8.0,28,12,2016
2016-12-29,97.0,12.0,69.0,3.0,17.0,29,12,2016
2016-12-30,113.0,10.0,72.0,3.0,19.0,30,12,2016
2016-12-31,121.0,11.0,54.0,3.0,25.0,31,12,2016
2017-01-01,152.0,13.0,60.0,2.0,19.0,1,1,2017
2017-01-02,115.0,11.0,54.0,1.0,12.0,2,1,2017
2017-01-03,112.0,11.0,38.0,2.0,9.0,3,1,2017
2017-01-04,85.0,10.0,46.0,2.0,12.0,4,1,2017
2017-01-05,101.0,12.0,31.0,2.0,16.0,5,1,2017
2017-01-06,94.0,10.0,41.0,2.0,13.0,6,1,2017
2017-01-07,96.0,13.0,44.0,2.0,19.0,7,1,2017
2017-01-08,113.0,17.0,50.0,10.0,16.0,8,1,2017
2017-01-09,146.0,10.0,36.0,1.0,11.0,9,1,2017
2017-01-10,97.0,11.0,30.0,2.0,10.0,10,1,2017
2017-01-11,62.0,11.0,37.0,2.0,9.0,11,1,2017
2017-01-12,82.0,12.0,39.0,2.0,8.0,12,1,2017
2017-01-13,115.0,15.0,41.0,1.0,13.0,13,1,2017
2017-01-14,136.0,13.0,42.0,2.0,10.0,14,1,2017
2017-01-15,126.0,12.0,46.0,2.0,12.0,15,1,2017
2017-01-16,164.0,14.0,48.0,3.0,29.0,16,1,2017
2017-01-17,291.0,16.0,52.0,2.0,20.0,17,1,2017
2017-01-18,266.0,16.0,50.0,2.0,11.0,18,1,2017
2017-01-19,122.0,13.0,52.0,3.0,17.0,19,1,2017
2017-01-20,115.0,13.0,57.0,2.0,17.0,20,1,2017
2017-01-21,134.0,14.0,49.0,1.0,8.0,21,1,2017
2017-01-22,100.0,11.0,55.0,2.0,15.0,22,1,2017
2017-01-23,101.0,6.0,62.0,3.0,16.0,23,1,2017
2017-01-24,97.0,9.0,67.0,2.0,18.0,24,1,2017
2017-01-25,107.0,12.5,62.0,2.0,16.0,25,1,2017
2017-01-26,104.0,13.0,63.0,2.0,21.0,26,1,2017
2017-01-27,116.0,8.0,47.0,1.0,14.0,27,1,2017
2017-01-28,91.0,11.0,35.0,1.0,5.0,28,1,2017
2017-01-29,59.0,14.0,48.0,2.0,10.0,29,1,2017
2017-01-30,75.0,17.0,52.0,3.0,13.0,30,1,2017
2017-01-31,89.0,19.0,46.0,4.0,12.0,31,1,2017
2017-02-01,92.0,13.0,36.0,2.0,10.0,1,2,2017
2017-02-02,89.0,13.0,47.0,2.0,13.0,2,2,2017
2017-02-03,80.0,15.0,40.0,3.0,9.0,3,2,2017
2017-02-04,86.0,17.0,40.0,2.0,11.0,4,2,2017
2017-02-05,92.0,18.0,42.0,3.0,15.0,5,2,2017
2017-02-06,108.0,16.0,53.0,2.0,15.0,6,2,2017
2017-02-07,105.0,15.0,44.0,2.0,13.0,7,2,2017
2017-02-08,137.0,21.0,57.0,3.0,8.0,8,2,2017
2017-02-09,115.0,18.0,38.0,5.0,11.0,9,2,2017
2017-02-10,96.0,20.0,39.0,7.0,12.0,10,2,2017
2017-02-11,107.0,21.0,26.0,7.0,8.0,11,2,2017
2017-02-12,94.0,21.0,40.0,8.0,13.0,12,2,2017
2017-02-13,106.0,21.0,32.0,8.0,14.0,13,2,2017
2017-02-14,103.0,19.0,20.0,7.0,10.0,14,2,2017
2017-02-15,87.0,23.0,28.0,7.0,11.0,15,2,2017
2017-02-16,99.0,23.0,25.0,7.0,17.0,16,2,2017
2017-02-17,113.0,22.0,18.0,8.0,14.0,17,2,2017
2017-02-18,81.0,7.0,14.0,5.0,10.0,18,2,2017
2017-02-19,72.0,14.0,12.0,5.0,5.0,19,2,2017
2017-02-20,67.0,69.0,20.0,18.0,6.0,20,2,2017
2017-02-21,75.0,9.0,9.0,4.0,5.0,21,2,2017
2017-02-22,38.0,16.0,11.0,7.0,8.0,22,2,2017
2017-02-23,54.0,22.0,17.0,10.0,7.0,23,2,2017
2017-02-24,76.0,21.0,14.0,10.0,7.0,24,2,2017
2017-02-25,70.0,24.0,25.0,11.0,12.0,25,2,2017
2017-02-26,152.0,24.0,21.0,15.0,8.0,26,2,2017
2017-02-27,109.0,25.0,17.0,8.0,11.0,27,2,2017
2017-02-28,80.0,21.0,21.0,8.0,11.0,28,2,2017
2017-03-01,89.0,50.0,14.0,6.0,4.0,1,3,2017
2017-03-02,67.0,24.0,13.0,12.0,6.0,2,3,2017
2017-03-03,58.0,26.0,11.0,5.0,4.0,3,3,2017
2017-03-04,52.0,112.0,10.0,4.0,6.0,4,3,2017
2017-03-05,40.0,21.0,11.0,6.0,7.0,5,3,2017
2017-03-06,50.0,28.0,19.0,9.0,6.0,6,3,2017
2017-03-07,82.0,5.0,23.0,2.0,5.0,7,3,2017
2017-03-08,20.0,7.0,15.0,3.0,6.0,8,3,2017
2017-03-09,36.0,9.0,13.0,3.0,6.0,9,3,2017
2017-03-10,29.0,13.0,12.0,2.0,6.0,10,3,2017
2017-03-11,30.0,17.0,10.0,3.0,6.0,11,3,2017
2017-03-12,44.0,19.0,13.0,5.0,8.0,12,3,2017
2017-03-13,59.0,27.0,19.0,4.0,11.0,13,3,2017
2017-03-14,71.0,23.0,19.0,8.0,12.0,14,3,2017
2017-03-15,80.0,23.0,22.0,9.0,12.0,15,3,2017
2017-03-16,72.0,17.0,13.0,5.0,9.0,16,3,2017
2017-03-17,67.0,20.0,7.0,7.0,5.0,17,3,2017
2017-03-18,54.0,17.0,7.0,5.0,7.0,18,3,2017
2017-03-19,49.0,13.0,7.0,4.0,5.0,19,3,2017
2017-03-20,49.0,16.0,8.0,5.0,8.0,20,3,2017
2017-03-21,52.0,32.0,8.0,7.0,6.0,21,3,2017
2017-03-22,40.0,17.0,8.0,6.0,8.0,22,3,2017
2017-03-23,53.0,22.0,8.0,5.0,7.0,23,3,2017
2017-03-24,51.0,105.0,7.0,3.0,9.0,24,3,2017
2017-03-25,54.0,15.0,5.0,2.0,7.0,25,3,2017
2017-03-26,55.0,19.0,6.0,4.0,6.0,26,3,2017
2017-03-27,56.0,12.0,6.0,2.0,8.0,27,3,2017
2017-03-28,46.0,13.0,5.0,3.0,6.0,28,3,2017
2017-03-29,41.0,9.0,5.0,4.0,8.0,29,3,2017
2017-03-30,38.0,11.0,5.0,2.0,7.0,30,3,2017
2017-03-31,42.0,10.0,5.0,3.0,4.0,31,3,2017
2017-04-01,42.0,9.0,4.0,2.0,5.0,1,4,2017
2017-04-02,38.0,17.0,6.0,3.0,5.0,2,4,2017
2017-04-03,40.0,8.0,6.0,3.0,4.0,3,4,2017
2017-04-04,38.0,6.0,7.0,2.0,7.0,4,4,2017
2017-04-05,39.0,6.0,5.0,2.0,6.0,5,4,2017
2017-04-06,33.0,9.0,6.0,2.0,8.0,6,4,2017
2017-04-07,37.0,12.0,6.0,2.0,5.0,7,4,2017
2017-04-08,44.0,15.0,5.0,2.0,6.0,8,4,2017
2017-04-09,43.0,22.0,7.0,2.0,4.0,9,4,2017
2017-04-10,47.0,25.0,9.0,3.0,5.0,10,4,2017
2017-04-11,57.0,22.0,8.0,2.0,5.0,11,4,2017
2017-04-12,61.0,17.0,6.0,2.0,9.0,12,4,2017
2017-04-13,53.0,18.0,6.0,1.0,5.0,13,4,2017
2017-04-14,47.0,16.0,5.0,2.0,8.0,14,4,2017
2017-04-15,50.0,32.0,5.0,2.0,4.0,15,4,2017
2017-04-16,29.0,18.0,8.0,2.0,5.0,16,4,2017
2017-04-17,43.0,14.0,9.0,2.0,4.0,17,4,2017
2017-04-18,42.0,11.0,10.0,2.0,6.0,18,4,2017
2017-04-19,54.0,31.0,12.0,3.0,7.0,19,4,2017
2017-04-20,51.0,61.0,11.0,2.0,5.0,20,4,2017
2017-04-21,79.0,17.0,10.0,2.0,4.0,21,4,2017
2017-04-22,63.0,17.0,16.0,2.0,5.0,22,4,2017
2017-04-23,51.0,13.0,13.0,2.0,5.0,23,4,2017
2017-04-24,52.0,17.0,12.0,2.0,4.0,24,4,2017
2017-04-25,62.0,19.0,13.0,2.0,6.0,25,4,2017
2017-04-26,53.0,20.0,10.0,2.0,6.0,26,4,2017
2017-04-27,55.0,163.0,10.0,1.0,6.0,27,4,2017
2017-04-28,60.0,40.0,9.0,2.0,6.0,28,4,2017
2017-04-29,27.0,17.0,7.0,2.0,5.0,29,4,2017
2017-04-30,45.0,17.0,11.0,2.0,4.0,30,4,2017
2017-05-01,39.0,13.0,11.0,2.0,6.0,1,5,2017
2017-05-02,32.0,19.0,13.0,2.0,5.0,2,5,2017
2017-05-03,40.0,21.0,12.0,4.0,6.0,3,5,2017
2017-05-04,39.0,18.0,12.0,2.0,5.0,4,5,2017
2017-05-05,44.0,13.0,11.0,3.0,6.0,5,5,2017
2017-05-06,32.0,35.0,13.0,4.0,7.0,6,5,2017
2017-05-07,31.0,123.0,11.0,3.0,4.0,7,5,2017
2017-05-08,41.0,13.0,17.0,5.0,5.0,8,5,2017
2017-05-09,56.0,16.0,19.0,6.0,8.0,9,5,2017
2017-05-10,50.0,17.0,14.0,5.0,8.0,10,5,2017
2017-05-11,54.0,18.0,19.0,8.0,6.0,11,5,2017
2017-05-12,55.0,21.0,18.0,9.0,5.0,12,5,2017
2017-05-13,59.0,31.0,19.0,6.0,7.0,13,5,2017
2017-05-14,56.0,19.0,15.0,4.0,5.0,14,5,2017
2017-05-15,55.0,64.0,18.0,4.0,8.0,15,5,2017
2017-05-16,31.0,225.0,15.0,4.0,6.0,16,5,2017
2017-05-17,83.0,21.0,18.0,5.0,6.0,17,5,2017
2017-05-18,38.0,26.0,18.0,8.0,6.0,18,5,2017
2017-05-19,44.0,25.0,16.0,7.0,5.0,19,5,2017
2017-05-20,48.0,18.0,19.0,6.0,4.0,20,5,2017
2017-05-21,43.0,15.0,15.0,5.0,4.0,21,5,2017
2017-05-22,34.0,16.0,16.0,5.0,4.0,22,5,2017
2017-05-23,39.0,12.0,14.0,4.0,3.0,23,5,2017
2017-05-24,36.0,12.0,13.0,5.0,4.0,24,5,2017
2017-05-25,39.0,9.0,12.0,5.0,4.0,25,5,2017
2017-05-26,27.0,18.0,16.0,7.0,6.0,26,5,2017
2017-05-27,31.0,12.0,17.0,5.0,6.0,27,5,2017
2017-05-28,31.0,19.0,26.0,6.0,7.0,28,5,2017
2017-05-29,35.0,11.0,20.0,6.0,9.0,29,5,2017
2017-05-30,34.0,229.0,27.0,4.0,5.0,30,5,2017
2017-05-31,38.0,299.0,14.0,4.0,6.0,31,5,2017
2017-06-01,42.0,72.0,15.0,4.0,4.0,1,6,2017
2017-06-02,37.0,8.0,12.0,4.0,7.0,2,6,2017
2017-06-03,69.0,25.0,17.0,4.0,6.0,3,6,2017
2017-06-04,34.0,25.0,17.0,3.0,5.0,4,6,2017
2017-06-05,104.0,264.0,16.0,4.0,5.0,5,6,2017
2017-06-06,89.0,25.0,19.0,7.0,6.0,6,6,2017
2017-06-07,83.0,264.0,17.0,3.0,4.0,7,6,2017
2017-06-08,94.0,25.0,17.0,4.0,6.0,8,6,2017
2017-06-09,80.0,25.0,11.0,3.0,5.0,9,6,2017
2017-06-10,30.0,25.0,15.0,10.0,6.0,10,6,2017
2017-06-11,41.0,25.0,16.0,4.0,7.0,11,6,2017
2017-06-12,25.0,21.0,22.0,4.0,6.0,12,6,2017
2017-06-13,48.0,12.0,10.0,4.0,3.0,13,6,2017
2017-06-14,31.0,10.0,11.0,4.0,5.0,14,6,2017
2017-06-15,17.0,23.0,15.0,7.0,6.0,15,6,2017
2017-06-16,34.0,23.0,13.0,7.0,6.0,16,6,2017
2017-06-17,39.0,19.0,13.0,7.0,7.0,17,6,2017
2017-06-18,30.0,191.0,14.0,5.0,7.0,18,6,2017
2017-06-19,31.0,40.0,25.0,10.0,7.0,19,6,2017
2017-06-20,30.0,25.0,25.0,9.0,6.0,20,6,2017
2017-06-21,34.0,26.0,18.0,7.0,5.0,21,6,2017
2017-06-22,32.0,12.0,45.0,3.0,5.0,22,6,2017
2017-06-23,17.0,7.0,35.0,3.0,7.0,23,6,2017
2017-06-24,32.0,218.0,58.0,80.0,6.0,24,6,2017
2017-06-25,113.0,126.0,33.0,38.0,5.0,25,6,2017
2017-06-26,65.0,9.0,17.0,4.0,7.0,26,6,2017
2017-06-27,19.0,28.0,20.0,7.0,8.0,27,6,2017
2017-06-28,26.0,38.0,18.0,10.0,6.0,28,6,2017
2017-06-29,36.0,15.0,12.0,4.0,5.0,29,6,2017
2017-06-30,21.0,217.0,40.0,44.0,6.0,30,6,2017
2017-07-01,82.0,81.0,29.0,25.0,9.0,1,7,2017
2017-07-02,61.0,11.0,19.0,5.0,6.0,2,7,2017
2017-07-03,28.0,8.0,16.0,6.0,3.0,3,7,2017
2017-07-04,22.0,8.0,22.0,5.0,5.0,4,7,2017
2017-07-05,29.0,3.0,35.0,5.0,11.0,5,7,2017
2017-07-06,30.0,164.0,43.0,46.0,4.0,6,7,2017
2017-07-07,81.0,305.0,45.0,43.0,8.0,7,7,2017
2017-07-08,90.0,66.0,28.0,23.0,4.0,8,7,2017
2017-07-09,54.0,15.0,22.0,9.0,7.0,9,7,2017
2017-07-10,36.0,295.0,27.0,5.0,7.0,10,7,2017
2017-07-11,24.0,8.0,27.0,6.0,5.0,11,7,2017
2017-07-12,45.0,8.0,19.0,3.0,4.0,12,7,2017
2017-07-13,15.0,8.0,16.0,4.0,5.0,13,7,2017
2017-07-14,21.0,8.0,13.0,3.0,5.0,14,7,2017
2017-07-15,16.0,324.0,41.0,78.0,8.0,15,7,2017
2017-07-16,97.0,8.0,14.0,4.0,3.0,16,7,2017
2017-07-17,12.0,6.0,13.0,4.0,5.0,17,7,2017
2017-07-18,19.0,5.0,13.0,5.0,4.0,18,7,2017
2017-07-19,23.0,2.0,27.0,3.0,2.0,19,7,2017
2017-07-20,36.0,5.0,22.0,5.0,5.0,20,7,2017
2017-07-21,26.0,31.0,23.0,10.0,6.0,21,7,2017
2017-07-22,35.0,4.0,18.0,4.0,7.0,22,7,2017
2017-07-23,16.0,20.0,17.0,7.0,7.0,23,7,2017
2017-07-24,17.0,8.0,19.0,7.0,4.0,24,7,2017
2017-07-25,26.0,7.0,25.0,5.0,6.0,25,7,2017
2017-07-26,38.0,7.0,23.0,4.0,5.0,26,7,2017
2017-07-27,32.0,7.0,17.0,5.0,7.0,27,7,2017
2017-07-28,39.0,8.0,22.0,5.0,5.0,28,7,2017
